# 审计领域专用词典 - jieba 自定义词典
# 格式: 词语 词频 词性
# 分类: 会计科目 / 审计准则术语 / 监管机构 / 审计程序术语
# ─── 会计科目名称 ─────────────────────────────────────────────────────────────
提取盈余公积 5 n
向投资者分配利润 5 n
# ─── 审计准则术语 ─────────────────────────────────────────────────────────────
重大错报风险 5 n
固有风险 5 n
控制风险 5 n
检查风险 5 n
审计风险 5 n
控制测试 5 n
实质性程序 5 n
实质性分析程序 5 n
细节测试 5 n
分析性程序 5 n
审计抽样 5 n
统计抽样 5 n
非统计抽样 5 n
属性抽样 5 n
变量抽样 5 n
货币单位抽样 5 n
函证 5 n
积极式函证 5 n
消极式函证 5 n
重新计算 5 n
重新执行 5 n
穿行测试 5 n
截止测试 5 n
检查 5 n
观察 5 n
询问 5 n
分析程序 5 n
持续经营 5 n
持续经营假设 5 n
管理层声明 5 n
书面声明 5 n
审计证据 5 n
充分性 5 n
适当性 5 n
审计报告 5 n
无保留意见 5 n
保留意见 5 n
否定意见 5 n
无法表示意见 5 n
强调事项段 5 n
其他事项段 5 n
关键审计事项 5 n
前任审计师 5 n
后任审计师 5 n
审计工作底稿 5 n
审计计划 5 n
总体审计策略 5 n
具体审计计划 5 n
了解内部控制 5 n
内部控制 5 n
控制环境 5 n
风险评估过程 5 n
信息系统 5 n
控制活动 5 n
对控制的监督 5 n
职责分离 5 n
授权审批 5 n
会计估计 5 n
会计估计审计 5 n
公允价值估计 5 n
管理层偏向 5 n
审计判断 5 n
职业怀疑 5 n
职业判断 5 n
独立性 5 n
客观性 5 n
审计质量控制 5 n
项目质量控制复核 5 n
关联方 5 n
关联方交易 5 n
关联方关系 5 n
或有事项 5 n
或有负债 5 n
或有资产 5 n
期后事项 5 n
日后事项 5 n
调整事项 5 n
非调整事项 5 n
前期差错 5 n
前期差错更正 5 n
会计政策变更 5 n
会计估计变更 5 n
审计重要性 5 n
重要性水平 5 n
实际执行重要性 5 n
明显微小错报 5 n
可容忍错报 5 n
可容忍偏差率 5 n
总体错报 5 n
已识别错报 5 n
推断错报 5 n
可能的错报 5 n
未更正错报 5 n
舞弊 5 n
舞弊风险 5 n
舞弊三角 5 n
管理层凌驾控制 5 n
收入确认舞弊 5 n
财务报表舞弊 5 n
侵占资产 5 n
# ─── 审计程序术语 ─────────────────────────────────────────────────────────────
账龄分析 5 n
预期信用损失 5 n
减值测试 5 n
公允价值 5 n
摊余成本 5 n
实际利率法 5 n
有效利率 5 n
完工百分比法 5 n
投入法 5 n
产出法 5 n
合并报表 5 n
合并财务报表 5 n
个别财务报表 5 n
抵销分录 5 n
内部交易抵销 5 n
少数股东损益 5 n
商誉减值测试 5 n
资产组 5 n
可收回金额 5 n
预计未来现金流量现值 5 n
公允价值减去处置费用后的净额 5 n
折现率 5 n
加权平均资本成本 5 n
收益法 5 n
市场法 5 n
成本法 5 n
资产基础法 5 n
直线法 5 n
双倍余额递减法 5 n
年数总和法 5 n
工作量法 5 n
使用寿命 5 n
残值率 5 n
预计净残值 5 n
折旧年限 5 n
摊销年限 5 n
资本化 5 n
费用化 5 n
借款费用资本化 5 n
开发阶段 5 n
研究阶段 5 n
收入确认 5 n
履约义务 5 n
交易价格 5 n
可变对价 5 n
合同变更 5 n
合同成本 5 n
时点确认 5 n
时段确认 5 n
政府补助 5 n
与资产相关的政府补助 5 n
与收益相关的政府补助 5 n
递延收益 5 n
现金流量 5 n
经营活动现金流量 5 n
投资活动现金流量 5 n
筹资活动现金流量 5 n
自由现金流 5 n
经营性净现金流 5 n
资产负债表 5 n
利润表 5 n
现金流量表 5 n
所有者权益变动表 5 n
附注 5 n
管理层讨论与分析 5 n
内部收益率 5 n
净现值 5 n
回收期 5 n
盈亏平衡点 5 n
经营杠杆 5 n
财务杠杆 5 n
权益乘数 5 n
资产负债率 5 n
流动比率 5 n
速动比率 5 n
存货周转率 5 n
应收账款周转率 5 n
总资产周转率 5 n
净资产收益率 5 n
毛利率 5 n
净利率 5 n
# ─── 监管机构与法规 ────────────────────────────────────────────────────────────
中国证监会 5 nt
中国证券监督管理委员会 5 nt
财政部 5 nt
中国注册会计师协会 5 nt
审计署 5 nt
银保监会 5 nt
中国银行保险监督管理委员会 5 nt
证券交易所 5 nt
上海证券交易所 5 nt
深圳证券交易所 5 nt
北京证券交易所 5 nt
国家税务总局 5 nt
国资委 5 nt
国务院国有资产监督管理委员会 5 nt
企业会计准则 5 n
中国注册会计师审计准则 5 n
独立审计准则 5 n
内部审计准则 5 n
会计法 5 n
审计法 5 n
证券法 5 n
公司法 5 n
企业所得税法 5 n
增值税暂行条例 5 n
企业会计制度 5 n
小企业会计准则 5 n
政府会计准则 5 n
国际财务报告准则 5 n
国际审计准则 5 n
# ─── 审计特定术语 ─────────────────────────────────────────────────────────────
底稿编制 5 n
审定表 5 n
明细表 5 n
调整分录 5 n
重分类分录 5 n
试算平衡表 5 n
科目余额表 5 n
序时账 5 n
总账 5 n
明细账 5 n
银行对账单 5 n
银行余额调节表 5 n
未达账项 5 n
期初余额 5 n
期末余额 5 n
本期发生额 5 n
借方发生额 5 n
贷方发生额 5 n
未审数 5 n
审定数 5 n
审计调整 5 n
账项调整 5 n
重分类调整 5 n
期初调整 5 n
审计差异 5 n
错报汇总 5 n
已更正错报 5 n
管理层已更正错报 5 n
管理层未更正错报 5 n
审计工作总结 5 n
业务约定书 5 n
审计业务委托 5 n
审计费用 5 n
独立性声明 5 n
项目组成员 5 n
签字合伙人 5 n
项目合伙人 5 n
项目经理 5 n
审计助理 5 n
质量控制复核 5 n
底稿归档 5 n
审计工作底稿保存期限 5 n
三级复核 5 n
交叉复核 5 n
索引号 5 n
交叉索引 5 n
永久性档案 5 n
当期档案 5 n
凭证抽样 5 n
样本量 5 n
抽样风险 5 n
非抽样风险 5 n
置信水平 5 n
精确度 5 n
可信赖程度 5 n
总体 5 n
抽样单元 5 n
分层抽样 5 n
系统抽样 5 n
随机抽样 5 n
判断抽样 5 n
# ─── 金融工具与特殊业务 ───────────────────────────────────────────────────────
金融工具 5 n
金融资产 5 n
金融负债 5 n
权益工具 5 n
混合金融工具 5 n
嵌入衍生工具 5 n
信用风险 5 n
市场风险 5 n
流动性风险 5 n
利率风险 5 n
汇率风险 5 n
价格风险 5 n
保理业务 5 n
应收账款保理 5 n
票据贴现 5 n
票据背书转让 5 n
终止确认 5 n
继续涉入 5 n
实质性固定利率 5 n
浮动利率 5 n
基准利率 5 n
合同现金流量特征 5 n
业务模式 5 n
初始确认 5 n
后续计量 5 n
重新分类 5 n
对冲会计 5 n
套期保值 5 n
公允价值套期 5 n
现金流量套期 5 n
境外经营净投资套期 5 n
股权激励 5 n
股份支付 5 n
以权益结算的股份支付 5 n
以现金结算的股份支付 5 n
限制性股票 5 n
股票期权 5 n
等待期 5 n
可行权日 5 n
行权价格 5 n
内在价值 5 n
时间价值 5 n
企业合并 5 n
同一控制下企业合并 5 n
非同一控制下企业合并 5 n
购买日 5 n
合并日 5 n
合并成本 5 n
可辨认净资产公允价值 5 n
非全资子公司 5 n
合营安排 5 n
共同控制 5 n
重大影响 5 n
联营企业 5 n
合营企业 5 n
租赁 5 n
经营租赁 5 n
融资租赁 5 n
使用权资产 5 n
租赁负债 5 n
增量借款利率 5 n
租赁期 5 n
续租选择权 5 n
终止租赁选择权 5 n
# ─── 行业/业务特殊术语 ───────────────────────────────────────────────────────
存货盘点 5 n
固定资产盘点 5 n
实地盘点 5 n
盘盈 5 n
盘亏 5 n
报废 5 n
毁损 5 n
减值迹象 5 n
商誉减值 5 n
资产组认定 5 n
可收回金额 5 n
在用价值 5 n
处置费用 5 n
资产评估 5 n
评估报告 5 n
评估基准日 5 n
估值方法 5 n
折现现金流 5 n
可比公司 5 n
可比交易 5 n
企业价值 5 n
股权价值 5 n
非经常性损益 5 n
经常性损益 5 n
关联方资金占用 5 n
违规担保 5 n
对外担保 5 n
资金拆借 5 n
委托贷款 5 n
委托理财 5 n
